objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
TP0030,,,,La Cenerentola,Rossini,1996,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C32",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0031,,,,Rigoletto,Verdi,1995,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C33",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0032,,,,Madama Butterfly,Puccini,1993,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C3",49.89949611,-97.137168,,,Image;StillImage,,,,,
TP0033,,,,Tosca,Puccini,2014,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0034,,,,Madama Butterfly,Puccini,2014,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0035,,,,Carmen,Bizet,2013,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0036,,,,La traviata (in concert),,2013,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0037,,,,Pagliacci (Silver Cast),,2011,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0038,,,,Lucia di Lammermoor,,2011,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0039,,,,Manon (in concert),,2010,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0040,,,,Macbeth,,2010,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0041,,,,The Magic Flute (Silver Cast),,2009,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0042,Onegin-OLO2009.jpg,,,Eugene Onegin,Tchaikovsky,2009,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0043,,,,Le nozze Figaro (Silver Cast),,2008,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0044,,,,Don Giovanni,,2007,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0045,,,,Otello,,2007,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0046,,,,Il barbiere di Siviglia (Silver Cast),,2006,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0047,Falstaff-OLO2006.jpg,,,Falstaff,Verdi,2006,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0048,,,,Roméo et Juliette,,2005,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0049,,,,Les Contes d’Hoffmann,,2005,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0050,,,,The Telephone/The Old Maid and the Thief,,2005,,,Nepean Centrepointe,45.34666589,-75.76294125,,,,,,,,
TP0051,,,,Rigoletto,,2004,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,,,,,,,,
TP0052,,,,Un ballo in maschera,,2003,,,,,,,,,,,,,
TP0053,,,,La bohème,,2002,,,,,,,,,,,,,
TP0054,,,,Il trovatore,,2001,,,,,,,,,,,,,
TP0055,,,,La fille du régiment,,2000,,,,45.4234077,-75.69442935,,,,,,,,
TP0056,,,,Les pêcheurs de perles,,1999,,,,,,,,,,,,,
TP0057,,,,Aida,,1997,,,,,,,,,,,,,
TP0058,,,,Madama Butterfly,,1996,,,,,,,,,,,,,
TP0059,,,,Tosca,,1994,,,,,,,,,,,,,
TP0060,Don Wright Faculty of Music promo.jpg,,,,,,,,London,,,,,,,,,,
TP0061,FIGARO-UWO-JanFeb2019,,,Figaro,Mozart,2019,,,London,,,,,,,,,,
TP0062,img20250410_12050482.jpg,,,Capital's TOP 50,Ottawa life magezine,2006,,,Ottawa,,,,,,,,,,
TP0063,TRENZ-Ottawa-mag2006.jpg,,,,,,,,,,,,,,,,,,
TP0064,TY-PrincipalConductor-MOA20.jpg,,,,,2025,,,Winnipeg,,,,,,,,,,
